row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Domain	Phylum	Class	Order	Family	Genus	Species
4a0b292ba716582f9af46694458c0b9b	1	7.812247503266572e-17	0.5156406726742813	1.5150564952042475e-16	0.9999999999999999	0.9999999999999999	d__Bacteria	p__Cyanobacteriota	c__Cyanobacteriia	o__Chloroplast	f__Incertae_Sedis	g__Incertae_Sedis	NA
10e51791c8dee561db8251780cf9ef0d	1	7.812247503266572e-17	0.5156406726742813	1.5150564952042475e-16	0.9999999999999999	0.9999999999999999	d__Bacteria	p__Cyanobacteriota	c__Vampirivibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__Zag_111	NA
0fd672291b9b2013b63d4b3ab74a11a2	1	7.812247503266572e-17	0.5156406726742813	1.5150564952042475e-16	0.9999999999999999	0.9999999999999999	d__Bacteria	p__Cyanobacteriota	c__Vampirivibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__Zag_111	NA
b6b86531ef8d5b24a2b1f0d0cbb40c76	1	7.812247503266572e-17	0.5156406726742813	1.5150564952042475e-16	0.9999999999999999	0.9999999999999999	d__Bacteria	p__Cyanobacteriota	c__Vampirivibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__CAG-196	NA
5a709350efd4ece76350bb959e1190aa	1.1369863013698631	-6.003859340531792e-8	0.5206522344418955	-1.1531419522222026e-7	0.999999907992584	0.9999999999999999	d__Bacteria	p__Elusimicrobiota	c__Lineage_IIa	o__Incertae_Sedis	f__Incertae_Sedis	g__Incertae_Sedis	NA
717e6182253f059237eb5caacd914ba4	1.3835616438356164	-1.9988367116240678e-7	0.6179806329362048	-3.2344649736465303e-7	0.9999997419270336	0.9999999999999999	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__Incertae_Sedis	NA
88fb15f05df086348963d416fa3f3077	1.178082191780822	-8.240817136084683e-8	0.5435220890195585	-1.516188081877228e-7	0.9999998790256939	0.9999999999999999	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Blastocatellales	f__Blastocatellaceae	g__JGI_0001001-H03	NA
c0c0fd60a887713923e9ab2db602524d	1.1506849315068493	-6.564103670259687e-8	0.5218593587622007	-1.2578300187677192e-7	0.9999998996396848	0.9999999999999999	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Blastocatellales	f__Blastocatellaceae	g__JGI_0001001-H03	NA
43ee2a760aea0393c28cb0810989880e	1.095890410958904	-4.305163129057465e-8	0.5182461995844165	-8.307177423606368e-8	0.9999999337183139	0.9999999999999999	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__11-24	f__Incertae_Sedis	g__Incertae_Sedis	NA
78b250b765b8266d4c84e5186698182c	1	7.812247503266572e-17	0.5156406726742813	1.5150564952042475e-16	0.9999999999999999	0.9999999999999999	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiia	o__Opitutales	f__Puniceicoccaceae	g__Incertae_Sedis	NA
d80de89804f1b657b26fd2220b9dadbe	1.095890410958904	-4.305163129057465e-8	0.5182461995844165	-8.307177423606368e-8	0.9999999337183139	0.9999999999999999	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiia	o__Opitutales	f__Opitutaceae	g__Oleiharenicola	NA
cdea785960ee02974c822d5dd1504cd4	1.1369863013698631	-6.003859340531792e-8	0.5206522344418955	-1.1531419522222026e-7	0.999999907992584	0.9999999999999999	d__Bacteria	p__Acidobacteriota	c__Subgroup_22	o__Incertae_Sedis	f__Incertae_Sedis	g__Incertae_Sedis	NA
f2a749d79e64aa7b0e5aafde0e6f4b30	1.095890410958904	-4.305163129057465e-8	0.5182461995844165	-8.307177423606368e-8	0.9999999337183139	0.9999999999999999	d__Bacteria	p__Incertae_Sedis	c__Incertae_Sedis	o__SJA-28	f__Incertae_Sedis	g__Incertae_Sedis	NA
1c719e69d668107c05bdba29829217c5	1	7.812247503266572e-17	0.5156406726742813	1.5150564952042475e-16	0.9999999999999999	0.9999999999999999	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Incertae_Sedis	NA
d09c79773d4b9e43484e592b61a6eca3	1	7.812247503266572e-17	0.5156406726742813	1.5150564952042475e-16	0.9999999999999999	0.9999999999999999	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Incertae_Sedis	NA
ed66913c64e880ea0b4cf78c59280664	1	7.812247503266572e-17	0.5156406726742813	1.5150564952042475e-16	0.9999999999999999	0.9999999999999999	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	NA
a01206f0b17de33744bdac813c3c6eca	1	7.812247503266572e-17	0.5156406726742813	1.5150564952042475e-16	0.9999999999999999	0.9999999999999999	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	NA
4102c0c9284b080a36ae312a7b497915	1	7.812247503266572e-17	0.5156406726742813	1.5150564952042475e-16	0.9999999999999999	0.9999999999999999	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	NA
b354a1e7a29c4f05aace7e65edc75c7f	1	7.812247503266572e-17	0.5156406726742813	1.5150564952042475e-16	0.9999999999999999	0.9999999999999999	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	NA
27f098662c8f87b4aaff903d9c0f28d3	1.095890410958904	-4.305163140626e-8	0.518246199584416	-8.307177445928847e-8	0.9999999337183137	0.9999999999999999	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Bilophila	NA
2bfa411d459e8b37ba258c4588f217e3	1	7.812247503266572e-17	0.5156406726742813	1.5150564952042475e-16	0.9999999999999999	0.9999999999999999	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Bilophila	NA
06a0a123bc442593231a5fec7e636a9d	1	7.812247503266572e-17	0.5156406726742813	1.5150564952042475e-16	0.9999999999999999	0.9999999999999999	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Bilophila	NA
31774b2ab198d7b5abc9f0d6e8a5ffc2	1	7.812247503266572e-17	0.5156406726742813	1.5150564952042475e-16	0.9999999999999999	0.9999999999999999	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Bilophila	NA
73d9a139e017712e591ccbb4cb1ac896	1	7.812247503266572e-17	0.5156406726742813	1.5150564952042475e-16	0.9999999999999999	0.9999999999999999	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Bilophila	NA
986601969786e8a0bcc7ef7b2d735681	1	7.812247503266572e-17	0.5156406726742813	1.5150564952042475e-16	0.9999999999999999	0.9999999999999999	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Bilophila	NA
1e7d14975ac82ced9a7752e896f667ef	1	7.812247503266572e-17	0.5156406726742813	1.5150564952042475e-16	0.9999999999999999	0.9999999999999999	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Bilophila	NA
d562f63f002b432f6632e40415b8c57f	1	7.812247503266572e-17	0.5156406726742813	1.5150564952042475e-16	0.9999999999999999	0.9999999999999999	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Bilophila	NA
48e665141691a28bc90fb9f37cbc09c2	1.1369863013698631	-6.003859340531792e-8	0.5206522344418955	-1.1531419522222026e-7	0.999999907992584	0.9999999999999999	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Incertae_Sedis	f__Incertae_Sedis	g__Hypericibacter	NA
