ASV	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Domain	Phylum	Class	Order	Family	Genus	Species	abslogFC	logFC_padj
ed66913c64e880ea0b4cf78c59280664	1.8464401930055931	-2.3853571602687276	0.5209329368027517	-4.579010063961323	4.671817223959115e-6	1.5105542357467805e-4	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	NA	2.3853571602687276	15791.27120245018
4102c0c9284b080a36ae312a7b497915	1.932174560555691	-2.2824707339387214	0.5230755723155361	-4.36355825953551	1.2796384188960417e-5	3.311736333298889e-4	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	NA	2.2824707339387214	6892.066590534111
31774b2ab198d7b5abc9f0d6e8a5ffc2	4.745632816304028	-2.4679753942686706	0.7970309048722549	-3.0964613532322542	0.0019584538923980883	0.017007127633461898	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Bilophila	NA	2.4679753942686706	145.11418079869495
656fc22d077cc5d6ef83285bcd081cbe	2.219658094429249	2.2273538468052725	0.6332037644887866	3.5175941327567974	4.354778648917984e-4	0.006034478984929207	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodospirillales	f__Incertae_Sedis	g__Incertae_Sedis	NA	2.2273538468052725	369.1045825775467
394eda29c886632f514dd94b58381186	17.08632161206177	-2.9346398098084645	0.8653961501412859	-3.391094135708081	6.96141858745546e-4	0.008345880486308962	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Haemophilus	NA	2.9346398098084645	351.6273465241454
945184b6386c192c0066e0a98a154780	17.62113319822907	3.4195002529027634	0.8454951217419182	4.044376088010764	5.246264619240232e-5	0.0010036399493903966	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	NA	NA	3.4195002529027634	3407.098586479885
dbcdaca3ee9e9fe75d8829e87b8551dc	33.546298192130386	-2.898739409176584	1.045599768702098	-2.772322159916683	0.005565792258199937	0.036401345906361626	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Sutterellaceae	g__Sutterella	NA	2.898739409176584	79.63275359744296
6cb84d89628deb90155586631bf75655	3.3355768291848755	2.098774555693608	0.7324056071042852	2.865590507958481	0.004162322707597783	0.0290274400588682	d__Bacteria	p__Actinomycetota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinotignum	NA	2.098774555693608	72.30312254326435
f6db88de2de2cc9c70a0fad702c78246	4.279053519063904	2.914180983891745	0.7992442503730013	3.6461707200667615	2.6617717426101066e-4	0.0038905622594040874	d__Bacteria	p__Actinomycetota	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Gardnerella	NA	2.914180983891745	749.038516694527
23bd044024010c3ba28e2542b98a22e1	13.845241403503715	-3.7130720554291323	0.8913349853353462	-4.165742528362854	3.1034079974851e-5	6.367954487147312e-4	d__Bacteria	p__Actinomycetota	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Gardnerella	NA	3.7130720554291323	5830.870906699111
2c5e87b291147c04e1b8d1c808b1aee0	26.774412629915773	-3.3991419334269697	0.9506825017366269	-3.5754754370862014	3.495919993582846e-4	0.00490808767520118	d__Bacteria	p__Actinomycetota	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	NA	3.3991419334269697	692.5593343822328
315ca0a729f126b941ba111a16d4d97a	33.97441858310239	-3.0517213770586302	0.9547457285087164	-3.196370809456593	0.0013916813311636474	0.01329779346514736	d__Bacteria	p__Actinomycetota	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	NA	3.0517213770586302	229.49080876139269
7a3090aa682623800304aca0da51c22c	37.46585367153879	2.8603517521339534	0.8698986495851835	3.288143686046564	0.001008503539262348	0.010654190855375499	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Faecalitalea	NA	2.8603517521339534	268.47198355666615
8e493df449e84acb4e24f5811ff3599b	11.38825821057622	4.3176731285182495	0.9535539629672614	4.5279798482327624	5.955025915020886e-6	1.717300716574942e-4	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Solobacterium	NA	4.3176731285182495	25142.207691670923
e865f29a716e8d51f83931befa951240	63.249294062797944	-3.4227807953537615	0.9810941314540433	-3.488738425415902	4.853057996478591e-4	0.006362476280230291	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelatoclostridiaceae	g__Erysipelotrichaceae_UCG-003	NA	3.4227807953537615	537.9636236899061
a333ee090a52b582e1a0e2dd776eb937	6.136935342935788	3.747033388103711	0.8254116967892942	4.5395932753061405	5.636284317019085e-6	1.6705320461831566e-4	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelatoclostridiaceae	g__Coprobacillus	NA	3.747033388103711	22430.17963447609
533b6c05a74b2c25a94f884d6fe42f9d	12.321984022742425	-3.460867028723767	0.8559233306162686	-4.043431116934185	5.2674636519083614e-5	0.0010036399493903966	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelatoclostridiaceae	g__Catenibacterium	NA	3.460867028723767	3448.315335420707
ba64f4fa502258a89d2b7468af3cbb28	2.987766038841654	2.4860337379463973	0.7131646103386629	3.485918540974497	4.904503272871666e-4	0.006362476280230291	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelatoclostridiaceae	g__Longibaculum	NA	2.4860337379463973	390.73367482266116
735cb9abbbc8ff2b5b354be608a3a869	13.78093181673536	3.8692075238489174	0.8945082502853852	4.325513512719955	1.5217693929138137e-5	3.6579211441522034e-4	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	NA	3.8692075238489174	10577.613270954434
c45a3b1ba3c7be52bf6cfd79c71d1286	3.9000315786178374	3.0602522276582333	0.7187099337954111	4.257979587811525	2.062827789830716e-5	4.491912758672192e-4	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Aerococcus	NA	3.0602522276582333	6812.804237459953
85c44c83eddc5d3028261a1000b7d0e1	4.998751469361644	2.262429945784135	0.6816732195780032	3.3189362304488292	9.036106216879894e-4	0.0100432555556363	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Gemellaceae	g__Gemella	NA	2.262429945784135	225.26858280674276
4f1ddb6e7d5befadf0b9ab146d9d037b	4.683269784360606	2.3468078535207284	0.8163557724270373	2.874736643980155	0.0040436462229569425	0.028573314701291774	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Berryella	NA	2.3468078535207284	82.13285291029365
35195a80f6fb69ef8bd6827d1b045aad	5.62515750536593	-2.4023633768252854	0.7274342034720304	-3.3025163861677775	9.582148923729533e-4	0.010224152901619411	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Senegalimassilia	NA	2.4023633768252854	234.96942973581443
ac11726e4c3f29d2e1beb38dc31eb68e	5.264961932794773	3.8412424425941896	0.6956728615789771	5.5216218063698435	3.358848420451048e-8	2.7568394343240525e-6	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Eggerthella	NA	3.8412424425941896	1393350.0786330784
69659d7edd60cd37bbdc9e3bb7f77431	2.786286565427606	-2.4954619613463276	0.6939493927098622	-3.596028741521893	3.231121158751454e-4	0.004596808368517068	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	NA	2.4954619613463276	542.8683906941642
00250e4a9d4f542d986024e1d3f39698	2.749141943746574	-3.326380384970132	0.5857752273548048	-5.678595184011322	1.3580545555641737e-8	1.3173129188972484e-6	d__Bacteria	p__Bacillota	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Family_XI	g__Anaerococcus	NA	3.326380384970132	2525125.4559582686
a63aaf1c1a9cfb4676d4db578720075d	2.6866200926894668	-2.759460306405215	0.6444642390656031	-4.281789646553711	1.8539619943832492e-5	4.208888187248781e-4	d__Bacteria	p__Bacillota	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Family_XI	g__Anaerococcus	NA	2.759460306405215	6556.268980404984
