ASV	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Domain	Phylum	Class	Order	Family	Genus	Species	abslogFC	logFC_padj
ed66913c64e880ea0b4cf78c59280664	1.8464401930055931	-2.3860159869994075	0.4568112787983443	-5.223198501744295	1.7585869476033348e-7	8.800262183631687e-6	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	NA	2.3860159869994075	271130.10240051145
4102c0c9284b080a36ae312a7b497915	1.932174560555691	-2.506099850563842	0.47049079633472973	-5.3265650892369045	1.0008742454432041e-7	6.0102498438864404e-6	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	NA	2.506099850563842	416970.99382865406
b4bb370a59f2637d406ccc0f5a1b2a1e	10.250553980989032	4.153434037874089	0.8371427281700431	4.961440741357584	6.997221823673546e-7	3.112467929715529e-5	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Morganella	NA	4.153434037874089	133445.03884586855
f57cabd02554d88ba107201d7c772fbd	46.61357984420034	-3.443674543669283	0.9459980435890128	-3.6402554603647586	2.723676776800166e-4	0.005122477192666479	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia-Shigella	NA	3.443674543669283	672.2674233863588
f6cba9b8a57bb49f57a00f18bf1e64b0	3.3408497055988136	2.3729885075313466	0.7070467591454908	3.3561974181159506	7.902213862460162e-4	0.010429185548147972	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Sutterellaceae	g__Sutterella	NA	2.3729885075313466	227.53344415784653
50d2bcfe618afef2607f5475a1d512e4	2.8397753679045907	2.0923724728970887	0.6735132920541427	3.106653569546607	0.001892179988426265	0.019934282158771438	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	NA	2.0923724728970887	104.96352245001246
7b28c20e72c6c95b3e604f0849245770	16.609525261920485	3.800575986293562	0.8590212024695169	4.4243098719422225	9.675106687492999e-6	2.904950782919773e-4	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiia	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	NA	3.800575986293562	13083.099406157906
43904939ba355dce37c93c12823b71e2	3.2486659370879076	2.1810209845634057	0.6811340542090842	3.2020436668607806	0.0013645631125629623	0.01606706174694233	d__Bacteria	p__Actinomycetota	c__Actinobacteria	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	NA	2.1810209845634057	135.74485608599025
74d852d0838dc88b0c653a7955770ed3	7.504641143594999	3.6761793418599833	0.802218725792802	4.582514997050158	4.594167485330065e-6	1.451998723653002e-4	d__Bacteria	p__Actinomycetota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Varibaculum	NA	3.6761793418599833	25318.06179974656
a01b3da2645cda5a1311bca65b756fb2	3.197561152503376	2.298186639943066	0.6911136692211769	3.3253381350898703	8.831136145699067e-4	0.01140451022686514	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Dielma	NA	2.298186639943066	201.51559288616548
8e493df449e84acb4e24f5811ff3599b	11.38825821057622	3.15554701247185	0.8912061253181698	3.540760013678415	3.9897629794567247e-4	0.006655146303232676	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Solobacterium	NA	3.15554701247185	474.15141135801514
0df6c802966e8670279671824da4f10a	14.227062805570213	4.648748524007877	0.8458765670595836	5.495776458458648	3.889950133536761e-8	2.7481353590456763e-6	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	NA	4.648748524007877	1691601.0009136568
c8364ffd28638c0516d23fb9cbe39cec	3.8853929876251607	2.5644538811449746	0.7229364048472106	3.5472745098332137	3.892387915968278e-4	0.00658416603813789	d__Bacteria	p__Bacillota	c__Bacilli	o__Mycoplasmatales	f__Mycoplasmataceae	g__Ureaplasma	NA	2.5644538811449746	389.48803330455564
26c6e3ed14694582e207478c1f23c21f	6.182431347873997	3.2878776004161985	0.7511615684441245	4.3770577976005285	1.2029208396631624e-5	3.439780781989186e-4	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Turicibacter	NA	3.2878776004161985	9558.392841868419
