ASV	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Domain	Phylum	Class	Order	Family	Genus	Species	abslogFC	logFC_padj
9104e464668ba956eb9de3d3d2f9eb19	4.328767123287672	2.5812666115839007	0.695375993732612	3.712044469249332	2.0559185429984298e-4	0.03684838619374109	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	NA	2.5812666115839007	70.05100842170243
f6db88de2de2cc9c70a0fad702c78246	2.6301369863013697	-3.4484580813985732	0.5914743357689273	-5.8302750818689635	5.533607857517503e-9	2.578661261603156e-6	d__Bacteria	p__Actinomycetota	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Gardnerella	NA	3.4484580813985732	1337305.5750853696
e3055f1b3a2ef5ffe239567f02e0e758	3.4657534246575343	-3.9999971061597526	0.6006571592608765	-6.659368067937204	2.7500743958817804e-11	1.601918335601137e-8	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	NA	3.9999971061597526	249700438.3596565
ff3739dd5a3c35cf09f01a391ce07570	4.698630136986301	3.3590782743578473	0.814665345490626	4.123261524442123	3.7354517253414385e-5	0.008703602520045551	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	NA	3.3590782743578473	385.94113950188375
0640e9dab39f8ff89a9bdef119e0fe6f	25.575342465753426	-6.908875274929271	0.9447148344781803	-7.313185971876302	2.6088155181026476e-13	2.0261800523930563e-10	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	NA	6.908875274929271	34098032239.38277
e09d949d7cec463caece6ea299532d89	54.56164383561644	-5.2761158751826684	1.0516510391817488	-5.0169834656254615	5.248908305982159e-7	2.0383260588230717e-4	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Fannyhessea	NA	5.2761158751826684	25884.552926871253
79782755a18c72d86cf07428121c811d	42.64383561643836	-4.380815455311486	1.0344335486408702	-4.234989730434968	2.2856215108459012e-5	0.005917220133634389	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Fannyhessea	NA	4.380815455311486	740.350258461783
4245fe74d6dc62e222f933d3dc8502f5	1.7671232876712328	-2.058892660709557	0.5377831938058902	-3.828480853294762	1.289366595233072e-4	0.02503520139077548	d__Bacteria	p__Bacillota	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Family_XI	g__Anaerococcus	NA	2.058892660709557	82.23990806274003
46e9544e9c5e7ed6d90a7b50a8a9c990	6.424657534246576	-3.129279970643036	0.7884983896712895	-3.968657402011405	7.227870835205518e-5	0.01530994458729896	d__Bacteria	p__Bacillota	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Family_XI	g__Anaerococcus	NA	3.129279970643036	204.3952512564329
0a0bb0370ec6d980fe832afcdd8e4446	1.6164383561643836	-2.247926518061752	0.4826927999183499	-4.657054172844511	3.207660621875877e-6	9.342311561213491e-4	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	NA	2.247926518061752	2406.1780677434012
cbba35c0152682628245fca0d2efa51e	32.9041095890411	-4.884035014031505	1.0154355083620041	-4.809793407667934	1.5108636954651176e-6	5.029017729191034e-4	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	NA	4.884035014031505	9711.707687332311
ed2705c46014388e410c33059f14abbf	56.136986301369866	7.429125416674266	1.0010015128331682	7.4216924963952975	1.1563303577084945e-13	1.347124866730396e-10	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Hoylesella	NA	7.429125416674266	55148008919.95618
8e22ba1c20e8aef2d81a1d6b45e10de8	1.821917808219178	-2.087461717321257	0.5689000380300531	-3.669294388781502	2.432208677487624e-4	0.04047890156104403	d__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Mageeibacillus	NA	2.087461717321257	51.569129517342994
2114414db001c21b5f663a9d3e7b56e6	17.684931506849313	-6.5685801970184565	0.8036666241533548	-8.173264883232289	3.0015399083519966e-16	6.993587986460152e-13	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Shuttleworthia	NA	6.5685801970184565	9392289350953.293
