ASV	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Domain	Phylum	Class	Order	Family	Genus	Species	abslogFC	logFC_padj
a4880d08bdaee32b18e27f365e1bea71	3.1095890410958904	2.100798955926479	0.7416024598096461	2.8327831550959397	0.004614467724969497	0.0245405783555196	d__Bacteria	p__Actinomycetota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Mobiluncus	NA	2.100798955926479	85.6051118882442
222391ff48fdfdcd3e9fe543b7276630	2.808219178082192	2.0739994268099387	0.6854638776845824	3.02568741304891	0.0024806861508666666	0.01707295762655294	d__Bacteria	p__Actinomycetota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Arcanobacterium	NA	2.0739994268099387	121.47862556539846
f6db88de2de2cc9c70a0fad702c78246	2.6301369863013697	-3.4484583182071407	0.5302557280820279	-6.503387206547407	7.853131022084702e-11	3.062721098613034e-9	d__Bacteria	p__Actinomycetota	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Gardnerella	NA	3.4484583182071407	1125945917.7555506
282dd7867741c58a5b4084ad8dcf416e	8.205479452054794	3.8916210909579405	0.8403158166765693	4.631141070686039	3.6365598237594545e-6	6.078249991140803e-5	d__Bacteria	p__Actinomycetota	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Gardnerella	NA	3.8916210909579405	64025.35428174348
e3055f1b3a2ef5ffe239567f02e0e758	3.4657534246575343	-3.9999973895019254	0.5384733432032931	-7.42840372692652	1.0991603721056524e-13	1.2860176353636134e-11	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	NA	3.9999973895019254	311037522309.7894
0640e9dab39f8ff89a9bdef119e0fe6f	25.575342465753426	-3.505751177885894	0.8359574407722996	-4.19369576356316	2.7444601407128034e-5	4.013772955792475e-4	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	NA	3.505751177885894	8734.303650201666
e68712d76951fcc660c7df2d1116d320	4.698630136986301	3.018857318694095	0.7546879597378979	4.000139766033288	6.330508428208442e-5	8.229660956670975e-4	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Aerococcus	NA	3.018857318694095	3668.26450638529
7fae613f7cc102eb5599d1caa6893bb9	3.5205479452054793	2.0281949723678165	0.7264616695209246	2.7918816056810516	0.005240252614285927	0.026656937211802324	d__Bacteria	p__Bacillota	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Family_XI	g__Ezakiella	NA	2.0281949723678165	76.08507144886232
a63aaf1c1a9cfb4676d4db578720075d	6.205479452054795	2.6945832507710312	0.8491168660714435	3.1733950395284136	0.0015066736787758205	0.0117520546944514	d__Bacteria	p__Bacillota	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Family_XI	g__Anaerococcus	NA	2.6945832507710312	229.28613938831037
7fb08fa9b7b2eef6a3db57d0de769227	2.6027397260273974	2.028195951021844	0.6810756379930503	2.977930552615861	0.002902017313971764	0.01787031714393139	d__Bacteria	p__Bacillota	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Family_XI	g__Peptoniphilus	NA	2.028195951021844	113.49524100139445
b2574632cd105083065793a728d40c81	90.16438356164383	3.0948860144042944	0.9183299299863051	3.3701243021126928	7.51342830233765e-4	0.006762085472103885	d__Bacteria	p__Bacillota	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Family_XI	g__Peptoniphilus	NA	3.0948860144042944	457.6821791401261
0a0bb0370ec6d980fe832afcdd8e4446	1.6164383561643836	-2.2479266306041588	0.42770012878189123	-5.255847448553155	1.4734439105931434e-7	3.4478587507879555e-6	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	NA	2.2479266306041588	651977.5875651604
5dc4a87514f65e55bd373c1283e95fc4	32.342465753424655	5.926992347737382	0.9478608864320486	6.2530192273761305	4.025925507947512e-10	1.1775832110746473e-8	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	NA	5.926992347737382	503318346.59297544
5c1dd48ef0a674513626f5c85ea126ee	27.123287671232877	2.9139578041122287	0.9326093575226724	3.1245213020944713	0.0017809462606046531	0.013023169530671527	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Hoylesella	NA	2.9139578041122287	223.751813815325
b484195da5a669012008758c2f88fb90	14.534246575342467	3.1804290069694345	0.8829660037089734	3.6019835345979048	3.15798370909942e-4	0.0031220981175343544	d__Bacteria	p__Bacillota	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Dialister	NA	3.1804290069694345	1018.6832339148733
4cb41777a79a421ce0ea64d1d234279c	5.164383561643835	2.876190968540043	0.7993033641100211	3.5983721546606002	3.2021519154198507e-4	0.0031220981175343544	d__Bacteria	p__Bacillota	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Incertae_Sedis	NA	2.876190968540043	921.2365724147984
2114414db001c21b5f663a9d3e7b56e6	17.684931506849313	-4.8052818994325985	0.7047006169170423	-6.818898386175641	9.174125958968712e-12	5.366863685996697e-10	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Shuttleworthia	NA	4.8052818994325985	8953612725.381145
b1a2eb74f17971864ed1ed964da108e5	85.9041095890411	4.658239143227963	0.9226648047396939	5.048679779806021	4.448737018039653e-7	8.675037185177323e-6	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	g__Sneathia	NA	4.658239143227963	536970.5101883947
63749f93fa752451b71632e68523bb95	16.78082191780822	-3.1287577934807977	0.8172028069485328	-3.828618510457278	1.2886457539624724e-4	0.0015077155321360925	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	g__Sneathia	NA	3.1287577934807977	2075.1645299084066
